https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
--------------------------------------------------
activity                  | \ue038     | 57400   
airplay                   | \ue039     | 57401   
alarm-clock               | \ue03a     | 57402   
album                     | \ue03b     | 57403   
align-horizontal-distribute-center | \ue03c     | 57404   
align-horizontal-distribute-end | \ue03d     | 57405   
align-horizontal-distribute-start | \ue03e     | 57406   
anchor                    | \ue03f     | 57407   
aperture                  | \ue040     | 57408   
archive                   | \ue041     | 57409   
arrow-down                | \ue042     | 57410   
arrow-down-left           | \ue043     | 57411   
arrow-down-narrow-wide    | \ue044     | 57412   
arrow-down-right          | \ue045     | 57413   
arrow-down-up             | \ue046     | 57414   
arrow-down-wide-narrow    | \ue047     | 57415   
arrow-left                | \ue048     | 57416   
arrow-right               | \ue049     | 57417   
arrow-up                  | \ue04a     | 57418   
arrow-up-left             | \ue04b     | 57419   
arrow-up-narrow-wide      | \ue04c     | 57420   
arrow-up-right            | \ue04d     | 57421   
at-sign                   | \ue04e     | 57422   
award                     | \ue04f     | 57423   
axe                       | \ue050     | 57424   
ban                       | \ue051     | 57425   
banknote                  | \ue052     | 57426   
battery                   | \ue053     | 57427   
battery-charging          | \ue054     | 57428   
battery-full              | \ue055     | 57429   
battery-low               | \ue056     | 57430   
battery-medium            | \ue057     | 57431   
beaker                    | \ue058     | 57432   
bell                      | \ue059     | 57433   
bell-off                  | \ue05a     | 57434   
bitcoin                   | \ue05b     | 57435   
bluetooth                 | \ue05c     | 57436   
bold                      | \ue05d     | 57437   
book                      | \ue05e     | 57438   
book-open                 | \ue05f     | 57439   
bookmark                  | \ue060     | 57440   
box                       | \ue061     | 57441   
briefcase                 | \ue062     | 57442   
calendar                  | \ue063     | 57443   
camera                    | \ue064     | 57444   
camera-off                | \ue065     | 57445   
cast                      | \ue066     | 57446   
chart-column-decreasing   | \ue067     | 57447   
chart-no-axes-column      | \ue068     | 57448   
chart-no-axes-column-decreasing | \ue069     | 57449   
chart-no-axes-column-increasing | \ue06a     | 57450   
chart-pie                 | \ue06b     | 57451   
check                     | \ue06c     | 57452   
chevron-down              | \ue06d     | 57453   
chevron-left              | \ue06e     | 57454   
chevron-right             | \ue06f     | 57455   
chevron-up                | \ue070     | 57456   
chevrons-down             | \ue071     | 57457   
chevrons-left             | \ue072     | 57458   
chevrons-right            | \ue073     | 57459   
chevrons-up               | \ue074     | 57460   
chromium                  | \ue075     | 57461   
circle                    | \ue076     | 57462   
circle-alert              | \ue077     | 57463   
circle-arrow-down         | \ue078     | 57464   
circle-arrow-left         | \ue079     | 57465   
circle-arrow-right        | \ue07a     | 57466   
circle-arrow-up           | \ue07b     | 57467   
circle-check-big          | \ue07c     | 57468   
circle-divide             | \ue07d     | 57469   
circle-minus              | \ue07e     | 57470   
circle-pause              | \ue07f     | 57471   
circle-play               | \ue080     | 57472   
circle-plus               | \ue081     | 57473   
circle-question-mark      | \ue082     | 57474   
circle-stop               | \ue083     | 57475   
circle-x                  | \ue084     | 57476   
clipboard                 | \ue085     | 57477   
clipboard-list            | \ue086     | 57478   
clock-4                   | \ue087     | 57479   
cloud                     | \ue088     | 57480   
cloud-download            | \ue089     | 57481   
cloud-drizzle             | \ue08a     | 57482   
cloud-hail                | \ue08b     | 57483   
cloud-lightning           | \ue08c     | 57484   
cloud-off                 | \ue08d     | 57485   
cloud-rain                | \ue08e     | 57486   
cloud-rain-wind           | \ue08f     | 57487   
cloud-snow                | \ue090     | 57488   
cloud-upload              | \ue091     | 57489   
clover                    | \ue092     | 57490   
code                      | \ue093     | 57491   
codepen                   | \ue094     | 57492   
codesandbox               | \ue095     | 57493   
coffee                    | \ue096     | 57494   
coins                     | \ue097     | 57495   
columns-2                 | \ue098     | 57496   
columns-3                 | \ue099     | 57497   
command                   | \ue09a     | 57498   
compass                   | \ue09b     | 57499   
contact                   | \ue09c     | 57500   
contrast                  | \ue09d     | 57501   
copy                      | \ue09e     | 57502   
copyleft                  | \ue09f     | 57503   
copyright                 | \ue0a0     | 57504   
corner-down-left          | \ue0a1     | 57505   
corner-down-right         | \ue0a2     | 57506   
corner-left-down          | \ue0a3     | 57507   
corner-left-up            | \ue0a4     | 57508   
corner-right-down         | \ue0a5     | 57509   
corner-right-up           | \ue0a6     | 57510   
corner-up-left            | \ue0a7     | 57511   
corner-up-right           | \ue0a8     | 57512   
cpu                       | \ue0a9     | 57513   
credit-card               | \ue0aa     | 57514   
crop                      | \ue0ab     | 57515   
crosshair                 | \ue0ac     | 57516   
database                  | \ue0ad     | 57517   
delete                    | \ue0ae     | 57518   
disc                      | \ue0af     | 57519   
divide                    | \ue0b0     | 57520   
dollar-sign               | \ue0b1     | 57521   
download                  | \ue0b2     | 57522   
dribbble                  | \ue0b3     | 57523   
droplet                   | \ue0b4     | 57524   
droplets                  | \ue0b5     | 57525   
ellipsis                  | \ue0b6     | 57526   
ellipsis-vertical         | \ue0b7     | 57527   
euro                      | \ue0b8     | 57528   
external-link             | \ue0b9     | 57529   
eye                       | \ue0ba     | 57530   
eye-off                   | \ue0bb     | 57531   
facebook                  | \ue0bc     | 57532   
fast-forward              | \ue0bd     | 57533   
feather                   | \ue0be     | 57534   
figma                     | \ue0bf     | 57535   
file                      | \ue0c0     | 57536   
file-check                | \ue0c1     | 57537   
file-check-corner         | \ue0c2     | 57538   
file-code                 | \ue0c3     | 57539   
file-digit                | \ue0c4     | 57540   
file-input                | \ue0c5     | 57541   
file-minus                | \ue0c6     | 57542   
file-minus-corner         | \ue0c7     | 57543   
file-output               | \ue0c8     | 57544   
file-plus                 | \ue0c9     | 57545   
file-plus-corner          | \ue0ca     | 57546   
file-search               | \ue0cb     | 57547   
file-text                 | \ue0cc     | 57548   
file-x                    | \ue0cd     | 57549   
file-x-corner             | \ue0ce     | 57550   
files                     | \ue0cf     | 57551   
film                      | \ue0d0     | 57552   
flag                      | \ue0d1     | 57553   
flame                     | \ue0d2     | 57554   
flashlight                | \ue0d3     | 57555   
flashlight-off            | \ue0d4     | 57556   
flask-conical             | \ue0d5     | 57557   
flask-round               | \ue0d6     | 57558   
folder                    | \ue0d7     | 57559   
folder-minus              | \ue0d8     | 57560   
folder-plus               | \ue0d9     | 57561   
framer                    | \ue0da     | 57562   
frown                     | \ue0db     | 57563   
funnel                    | \ue0dc     | 57564   
funnel-plus               | \ue0dd     | 57565   
gamepad                   | \ue0de     | 57566   
gamepad-2                 | \ue0df     | 57567   
gavel                     | \ue0e0     | 57568   
gift                      | \ue0e1     | 57569   
git-branch                | \ue0e2     | 57570   
git-commit-horizontal     | \ue0e3     | 57571   
git-merge                 | \ue0e4     | 57572   
git-pull-request          | \ue0e5     | 57573   
github                    | \ue0e6     | 57574   
gitlab                    | \ue0e7     | 57575   
globe                     | \ue0e8     | 57576   
